tick,time_s,t_orbit_s,t_orbit_min,theta_rad,theta_deg,in_sun,solar_scale
1,60,60,1,0.0668424,3.82979,1,0.998883
2,120,120,2,0.133685,7.65957,1,0.995539
3,180,180,3,0.200527,11.4894,1,0.989981
4,240,240,4,0.26737,15.3191,1,0.982235
5,300,300,5,0.334212,19.1489,1,0.972335
6,360,360,6,0.401054,22.9787,1,0.960325
7,420,420,7,0.467897,26.8085,1,0.946259
8,480,480,8,0.534739,30.6383,1,0.930201
9,540,540,9,0.601582,34.4681,1,0.912221
10,600,600,10,0.668424,38.2979,1,0.8924
11,660,660,11,0.735266,42.1277,1,0.870826
12,720,720,12,0.802109,45.9574,1,0.847596
13,780,780,13,0.868951,49.7872,1,0.822814
14,840,840,14,0.935794,53.617,1,0.79659
15,900,900,15,1.00264,57.4468,1,0.769041
16,960,960,16,1.06948,61.2766,1,0.740291
17,1020,1020,17,1.13632,65.1064,1,0.710467
18,1080,1080,18,1.20316,68.9362,1,0.679704
19,1140,1140,19,1.27001,72.766,1,0.648138
20,1200,1200,20,1.33685,76.5957,1,0.61591
21,1260,1260,21,1.40369,80.4255,1,0.583165
22,1320,1320,22,1.47053,84.2553,1,0.550048
23,1380,1380,23,1.53738,88.0851,1,0.516707
24,1440,1440,24,1.60422,91.9149,0,0
25,1500,1500,25,1.67106,95.7447,0,0
