tick,time_s,t_orbit_s,t_orbit_min,theta_rad,theta_deg,in_sun,solar_scale
1,60,60,1,0.0668424,3.82979,1,0.998883
2,120,120,2,0.133685,7.65957,1,0.995539
3,180,180,3,0.200527,11.4894,1,0.989981
4,240,240,4,0.26737,15.3191,1,0.982235
5,300,300,5,0.334212,19.1489,1,0.972335
6,360,360,6,0.401054,22.9787,1,0.960325
7,420,420,7,0.467897,26.8085,1,0.946259
8,480,480,8,0.534739,30.6383,1,0.930201
9,540,540,9,0.601582,34.4681,1,0.912221
10,600,600,10,0.668424,38.2979,1,0.8924
11,660,660,11,0.735266,42.1277,1,0.870826
12,720,720,12,0.802109,45.9574,1,0.847596
13,780,780,13,0.868951,49.7872,1,0.822814
14,840,840,14,0.935794,53.617,1,0.79659
15,900,900,15,1.00264,57.4468,1,0.769041
16,960,960,16,1.06948,61.2766,1,0.740291
17,1020,1020,17,1.13632,65.1064,1,0.710467
18,1080,1080,18,1.20316,68.9362,1,0.679704
19,1140,1140,19,1.27001,72.766,1,0.648138
20,1200,1200,20,1.33685,76.5957,1,0.61591
21,1260,1260,21,1.40369,80.4255,1,0.583165
22,1320,1320,22,1.47053,84.2553,1,0.550048
23,1380,1380,23,1.53738,88.0851,1,0.516707
24,1440,1440,24,1.60422,91.9149,0,0
25,1500,1500,25,1.67106,95.7447,0,0
26,1560,1560,26,1.7379,99.5745,0,0
27,1620,1620,27,1.80474,103.404,0,0
28,1680,1680,28,1.87159,107.234,0,0
29,1740,1740,29,1.93843,111.064,0,0
30,1800,1800,30,2.00527,114.894,0,0
31,1860,1860,31,2.07211,118.723,0,0
32,1920,1920,32,2.13896,122.553,0,0
33,1980,1980,33,2.2058,126.383,0,0
34,2040,2040,34,2.27264,130.213,0,0
35,2100,2100,35,2.33948,134.043,0,0
36,2160,2160,36,2.40633,137.872,0,0
37,2220,2220,37,2.47317,141.702,0,0
38,2280,2280,38,2.54001,145.532,0,0
39,2340,2340,39,2.60685,149.362,0,0
40,2400,2400,40,2.6737,153.191,0,0
41,2460,2460,41,2.74054,157.021,0,0
42,2520,2520,42,2.80738,160.851,0,0
43,2580,2580,43,2.87422,164.681,0,0
44,2640,2640,44,2.94107,168.511,0,0
45,2700,2700,45,3.00791,172.34,0,0
46,2760,2760,46,3.07475,176.17,0,0
47,2820,2820,47,3.14159,180,0,0
48,2880,2880,48,3.20844,183.83,0,0
49,2940,2940,49,3.27528,187.66,0,0
50,3000,3000,50,3.34212,191.489,0,0
51,3060,3060,51,3.40896,195.319,0,0
52,3120,3120,52,3.4758,199.149,0,0
53,3180,3180,53,3.54265,202.979,0,0
54,3240,3240,54,3.60949,206.809,0,0
55,3300,3300,55,3.67633,210.638,0,0
56,3360,3360,56,3.74317,214.468,0,0
57,3420,3420,57,3.81002,218.298,0,0
58,3480,3480,58,3.87686,222.128,0,0
59,3540,3540,59,3.9437,225.957,0,0
60,3600,3600,60,4.01054,229.787,0,0
61,3660,3660,61,4.07739,233.617,0,0
62,3720,3720,62,4.14423,237.447,0,0
63,3780,3780,63,4.21107,241.277,0,0
64,3840,3840,64,4.27791,245.106,0,0
65,3900,3900,65,4.34476,248.936,0,0
66,3960,3960,66,4.4116,252.766,0,0
67,4020,4020,67,4.47844,256.596,0,0
68,4080,4080,68,4.54528,260.426,0,0
69,4140,4140,69,4.61213,264.255,0,0
70,4200,4200,70,4.67897,268.085,0,0
71,4260,4260,71,4.74581,271.915,1,0.516707
72,4320,4320,72,4.81265,275.745,1,0.550048
73,4380,4380,73,4.87949,279.574,1,0.583165
74,4440,4440,74,4.94634,283.404,1,0.61591
75,4500,4500,75,5.01318,287.234,1,0.648138
76,4560,4560,76,5.08002,291.064,1,0.679704
77,4620,4620,77,5.14686,294.894,1,0.710467
78,4680,4680,78,5.21371,298.723,1,0.740291
79,4740,4740,79,5.28055,302.553,1,0.769041
80,4800,4800,80,5.34739,306.383,1,0.79659
81,4860,4860,81,5.41423,310.213,1,0.822814
82,4920,4920,82,5.48108,314.043,1,0.847596
83,4980,4980,83,5.54792,317.872,1,0.870826
84,5040,5040,84,5.61476,321.702,1,0.8924
85,5100,5100,85,5.6816,325.532,1,0.912221
86,5160,5160,86,5.74845,329.362,1,0.930201
87,5220,5220,87,5.81529,333.191,1,0.946259
88,5280,5280,88,5.88213,337.021,1,0.960325
89,5340,5340,89,5.94897,340.851,1,0.972335
90,5400,5400,90,6.01582,344.681,1,0.982235
91,5460,5460,91,6.08266,348.511,1,0.989981
92,5520,5520,92,6.1495,352.34,1,0.995539
93,5580,5580,93,6.21634,356.17,1,0.998883
94,5640,5640,94,6.28319,360,1,1
95,5700,5700,95,0.0668424,3.82979,1,0.998883
96,5760,5760,96,0.133685,7.65957,1,0.995539
97,5820,5820,97,0.200527,11.4894,1,0.989981
98,5880,5880,98,0.26737,15.3191,1,0.982235
99,5940,5940,99,0.334212,19.1489,1,0.972335
100,6000,6000,100,0.401054,22.9787,1,0.960325
101,6060,6060,101,0.467897,26.8085,1,0.946259
102,6120,6120,102,0.534739,30.6383,1,0.930201
103,6180,6180,103,0.601582,34.4681,1,0.912221
104,6240,6240,104,0.668424,38.2979,1,0.8924
105,6300,6300,105,0.735266,42.1277,1,0.870826
106,6360,6360,106,0.802109,45.9574,1,0.847596
107,6420,6420,107,0.868951,49.7872,1,0.822814
108,6480,6480,108,0.935794,53.617,1,0.79659
109,6540,6540,109,1.00264,57.4468,1,0.769041
110,6600,6600,110,1.06948,61.2766,1,0.740291
111,6660,6660,111,1.13632,65.1064,1,0.710467
112,6720,6720,112,1.20316,68.9362,1,0.679704
113,6780,6780,113,1.27001,72.766,1,0.648138
114,6840,6840,114,1.33685,76.5957,1,0.61591
115,6900,6900,115,1.40369,80.4255,1,0.583165
116,6960,6960,116,1.47053,84.2553,1,0.550048
117,7020,7020,117,1.53738,88.0851,1,0.516707
118,7080,7080,118,1.60422,91.9149,0,0
119,7140,7140,119,1.67106,95.7447,0,0
120,7200,7200,120,1.7379,99.5745,0,0
121,7260,7260,121,1.80474,103.404,0,0
122,7320,7320,122,1.87159,107.234,0,0
123,7380,7380,123,1.93843,111.064,0,0
124,7440,7440,124,2.00527,114.894,0,0
125,7500,7500,125,2.07211,118.723,0,0
126,7560,7560,126,2.13896,122.553,0,0
127,7620,7620,127,2.2058,126.383,0,0
128,7680,7680,128,2.27264,130.213,0,0
129,7740,7740,129,2.33948,134.043,0,0
130,7800,7800,130,2.40633,137.872,0,0
131,7860,7860,131,2.47317,141.702,0,0
132,7920,7920,132,2.54001,145.532,0,0
133,7980,7980,133,2.60685,149.362,0,0
134,8040,8040,134,2.6737,153.191,0,0
135,8100,8100,135,2.74054,157.021,0,0
136,8160,8160,136,2.80738,160.851,0,0
137,8220,8220,137,2.87422,164.681,0,0
138,8280,8280,138,2.94107,168.511,0,0
139,8340,8340,139,3.00791,172.34,0,0
140,8400,8400,140,3.07475,176.17,0,0
141,8460,8460,141,3.14159,180,0,0
142,8520,8520,142,3.20844,183.83,0,0
143,8580,8580,143,3.27528,187.66,0,0
144,8640,8640,144,3.34212,191.489,0,0
145,8700,8700,145,3.40896,195.319,0,0
146,8760,8760,146,3.4758,199.149,0,0
147,8820,8820,147,3.54265,202.979,0,0
148,8880,8880,148,3.60949,206.809,0,0
149,8940,8940,149,3.67633,210.638,0,0
150,9000,9000,150,3.74317,214.468,0,0
151,9060,9060,151,3.81002,218.298,0,0
152,9120,9120,152,3.87686,222.128,0,0
153,9180,9180,153,3.9437,225.957,0,0
154,9240,9240,154,4.01054,229.787,0,0
155,9300,9300,155,4.07739,233.617,0,0
156,9360,9360,156,4.14423,237.447,0,0
157,9420,9420,157,4.21107,241.277,0,0
158,9480,9480,158,4.27791,245.106,0,0
159,9540,9540,159,4.34476,248.936,0,0
160,9600,9600,160,4.4116,252.766,0,0
161,9660,9660,161,4.47844,256.596,0,0
162,9720,9720,162,4.54528,260.426,0,0
163,9780,9780,163,4.61213,264.255,0,0
164,9840,9840,164,4.67897,268.085,0,0
165,9900,9900,165,4.74581,271.915,1,0.516707
166,9960,9960,166,4.81265,275.745,1,0.550048
167,10020,10020,167,4.87949,279.574,1,0.583165
168,10080,10080,168,4.94634,283.404,1,0.61591
169,10140,10140,169,5.01318,287.234,1,0.648138
